"","Rule","Coefficient","Empirical.Risk"
"1","Feature2 > -0.12 AND Feature2 <= 1.55 AND Feature4 > 0.32 AND Feature9 <= -0.90",2.22386703392112,0.0769230769230769
"2","Feature2 > -0.12 AND Feature2 > 1.55",0.0325675061519152,0.05
"3","Feature2 > -0.11 AND Feature2 > 1.16 AND Feature12 > -0.59",0.0984997360722196,0.0344827586206897
"4","Feature2 <= -0.15 AND Feature15 > 0.41 AND Feature32 <= -0.94",-0.097451788180714,0.0526315789473684
"5","Feature2 > -0.15 AND Feature9 <= -0.80 AND Feature23 > 0.53",1.92308498504883,0.0625
"6","Feature2 > -0.12 AND Feature2 <= 1.55 AND Feature4 <= 0.49 AND Feature8 > 0.56",-0.0693857214338095,0.04
"7","Feature2 > -0.12 AND Feature2 > 1.55",0.000434912943521847,0.05
"8","Feature2 <= 0.18 AND Feature8 <= -0.21 AND Feature9 <= 0.79",0.732114640654441,0.0128205128205128
"9","Feature2 > 0.18 AND Feature2 <= 1.61 AND Feature4 > 0.70",0.318479527707096,0.03125
"10","Feature2 <= 0.96 AND Feature4 <= -0.37 AND Feature9 > 0.64",-0.466494733179918,0.04
"11","Feature2 <= 0.84 AND Feature12 <= -0.89 AND Feature40 <= -1.27",-2.42939964596672,0.125
"12","Feature2 > -0.11 AND Feature4 > -0.15 AND Feature8 <= -0.23",0.85443853509734,0.0208333333333333
"13","Feature2 > -0.11 AND Feature8 > -0.23 AND Feature20 > -0.21",-0.444356002232327,0.0161290322580645
"14","Feature2 > -0.12 AND Feature12 <= 0.04 AND Feature32 <= 0.08",-0.129352313791432,0.0222222222222222
"15","Feature2 <= -0.12 AND Feature42 <= -0.15",-0.762825751502517,0.0126582278481013
"16","Feature2 > -0.12 AND Feature8 > 0.25 AND Feature12 <= -0.22",-1.17121555395648,0.037037037037037
"17","Feature2 <= 0.18 AND Feature9 > 0.58",-0.40921336493441,0.02
"18","Feature2 > 0.18 AND Feature9 <= 0.86 AND Feature30 <= -0.16",0.719907983531988,0.0169491525423729
"19","Feature2 <= -0.11 AND Feature5 > 0.25 AND Feature32 <= -0.71",-0.956311050342603,0.0454545454545455
"20","Feature2 > -0.11 AND Feature4 <= 0.68 AND Feature37 > -0.27",-0.480731801656782,0.0125
"21","Feature2 <= 0.95 AND Feature2 > -0.12 AND Feature4 <= 0.92 AND Feature8 > 0.44",-0.261250834123404,0.037037037037037
"22","Feature2 > 0.95 AND Feature12 > -0.08",0.137667984394516,0.025
"23","Feature2 <= 1.59 AND Feature8 > -0.24 AND Feature22 <= 0.46",-0.583916216036822,0.00684931506849315
"24","Feature2 <= 1.59 AND Feature8 > -0.24 AND Feature22 > 0.46 AND Feature34 <= -0.07",-0.133348154135014,0.03125
"25","Feature2 <= 1.59 AND Feature8 > -0.24 AND Feature22 > 0.46 AND Feature34 > -0.07",0.360104810775899,0.0357142857142857
"26","Feature2 <= 0.04 AND Feature9 > 0.06 AND Feature15 > 0.34",-0.259709304641339,0.024390243902439
"27","Feature2 <= 0.99 AND Feature4 <= 0.67 AND Feature20 > 0.29",-1.07105771314898,0.00980392156862745
"28","Feature2 <= -0.12 AND Feature4 <= 0.58 AND Feature9 > 0.07",-1.18122616924452,0.0166666666666667
"29","Feature2 > -0.12 AND Feature8 > -0.21 AND Feature17 > 0.16",-0.679419382636372,0.025
"30","Feature2 > -0.12 AND Feature12 <= 0.61 AND Feature32 <= -0.24",-0.934657844089734,0.0204081632653061
"31","Feature2 > -0.12 AND Feature12 > 0.61 AND Feature16 > -0.14",1.75533611566853,0.0294117647058824
"32","Feature2 <= 0.96 AND Feature15 <= 0.48 AND Feature22 <= -0.97",-0.377543200340543,0.03125
"33","Feature2 <= 0.96 AND Feature15 <= 0.48 AND Feature22 > -0.97",0.414368490588838,0.00555555555555556
"34","Feature2 <= 0.96 AND Feature15 > 0.48 AND Feature29 > 0.65",-0.0184311716884108,0.0454545454545455
"35","Feature2 > -0.13 AND Feature30 <= -0.18 AND Feature40 > -0.79",1.40888419998422,0.0140845070422535
"36","Feature2 > -0.13 AND Feature26 > 0.49 AND Feature30 > -0.18",0.532471188988961,0.0476190476190476
"37","Feature2 <= -0.12 AND Feature49 > 0.12",-0.894305105751421,0.0112359550561798
"38","Feature2 > -0.12 AND Feature26 > 0.39 AND Feature32 > -0.69",0.28171192903519,0.0208333333333333
"39","Feature2 <= -0.12 AND Feature40 <= -1.33",-0.679050407428574,0.0909090909090909
"40","Feature2 > -0.12 AND Feature18 > 0.18 AND Feature49 <= -0.54",2.4106743452369,0.037037037037037
"41","Feature2 <= 0.93 AND Feature2 <= -0.72 AND Feature4 <= 0.70",-0.667759997852883,0.0158730158730159
"42","Feature2 <= 0.93 AND Feature4 > 0.70 AND Feature10 > -1.24 AND Feature22 > 0.31",1.60507563281437,0.04
"43","Feature2 > -0.13 AND Feature30 <= -0.09 AND Feature49 <= -1.65",3.40256950234795,0.125
"44","Feature2 <= -0.12 AND Feature9 <= 0.58 AND Feature10 <= -1.23",-1.08256274287448,0.0588235294117647
"45","Feature2 > -0.12 AND Feature8 <= -0.54 AND Feature49 <= -1.19",0.795208843432582,0.0769230769230769
"46","Feature2 > -0.12 AND Feature26 > 0.39",0.833498727548614,0.0166666666666667
"47","Feature2 <= 1.14 AND Feature2 <= -0.23 AND Feature49 > 0.13",-0.544822813886368,0.0121951219512195
"48","Feature2 <= 0.19 AND Feature4 <= -0.06",-0.842734413568728,0.00900900900900901
"49","Feature2 <= 0.19 AND Feature4 > -0.06 AND Feature23 > 0.73",0.689757317783797,0.04
"50","Feature2 > 0.19 AND Feature12 <= -0.33 AND Feature32 <= 0.93",-0.375685122101976,0.0303030303030303
"51","Feature2 <= 1.07 AND Feature9 > 1.05",-0.000344672496045123,0.0208333333333333
"52","Feature2 > 1.07 AND Feature26 > 0.41",1.01578675296782,0.0714285714285714
"53","Feature2 <= 0.96 AND Feature12 <= -0.29",-0.16881778567883,0.00854700854700855
"54","Feature2 > 0.96 AND Feature9 <= -0.59 AND Feature12 > -0.80",1.05522761241066,0.0526315789473684
"55","Feature2 <= -0.15 AND Feature9 <= 0.64 AND Feature20 <= 0.24",1.11252557588289,0.0138888888888889
"56","Feature2 <= 1.57 AND Feature2 > -0.13 AND Feature20 <= 0.56 AND Feature26 > 0.37",0.244716951675664,0.0256410256410256
"57","Feature2 <= 1.57 AND Feature4 <= -0.13 AND Feature20 > 0.56",-0.316299781635899,0.0196078431372549
"58","Feature2 <= 1.57 AND Feature4 > -0.13 AND Feature20 > 0.56",-0.374036229742731,0.0181818181818182
"59","Feature4 <= 0.31 AND Feature15 > 0.71 AND Feature21 > 1.26",-0.216868748592666,0.0833333333333333
"60","Feature4 > 0.31 AND Feature12 <= 0.74 AND Feature37 <= -0.16",0.0259812865766699,0.0222222222222222
"61","Feature1 > -0.46 AND Feature2 <= -0.12 AND Feature9 <= 0.58",0.824301141597571,0.0111111111111111
"62","Feature2 > -0.12 AND Feature8 <= 0.25 AND Feature31 <= 0.51",0.868848015193018,0.0119047619047619
"63","Feature2 <= -0.12 AND Feature15 > 0.40 AND Feature23 <= -1.01",-1.82869500340011,0.0909090909090909
"64","Feature2 <= -0.11 AND Feature37 > 0.73",-0.784657665119656,0.027027027027027
"65","Feature2 > -0.11 AND Feature18 > -0.14 AND Feature41 <= -0.57",0.171567233631462,0.0416666666666667
"66","Feature2 <= 0.20 AND Feature9 > 0.06 AND Feature15 > 0.41",-1.21966807186148,0.0238095238095238
"67","Feature12 <= 0.46 AND Feature32 <= 1.13 AND Feature37 > 0.23 AND Feature50 <= 0.75",-1.09802000342327,0.0166666666666667
"68","Feature12 <= 0.46 AND Feature32 <= 1.13 AND Feature50 > 0.75",-1.37234445917377,0.0232558139534884
"69","Feature2 <= -0.12 AND Feature40 <= -1.33",-0.0384936328875827,0.0909090909090909
"70","Feature2 > -0.12 AND Feature2 > 1.57",0.919257371609164,0.05
"71","Feature2 <= -0.27 AND Feature32 <= -0.69",-0.688676211225682,0.0204081632653061
"72","Feature1 > -0.63 AND Feature2 <= -0.27 AND Feature32 > -0.69",0.401774552127143,0.0136986301369863
"73","Feature2 > -0.27 AND Feature32 <= 1.03 AND Feature39 > 0.31",-0.305193619492489,0.0161290322580645
"74","Feature2 > -0.27 AND Feature32 > 1.03",1.61323260703803,0.027027027027027
"75","Feature2 <= -0.11 AND Feature9 <= -0.79 AND Feature40 > -1.33",0.293595927789434,0.0222222222222222
"76","Feature2 <= 1.17 AND Feature4 <= 1.54 AND Feature9 <= 0.65 AND Feature12 <= 0.30 AND Feature32 <= -0.17",-0.734013234478043,0.0138888888888889
"77","Feature2 <= 1.17 AND Feature4 > 1.54 AND Feature9 <= 0.65",0.594378236388032,0.0476190476190476
"78","Feature2 <= 1.17 AND Feature9 > 0.65",-0.876305531408936,0.0123456790123457
"79","Feature2 > -0.13 AND Feature12 <= -0.60 AND Feature32 <= 1.81",-0.0155541340446603,0.0227272727272727
"80","Feature2 > -0.13 AND Feature4 > 0.29 AND Feature12 > -0.60 AND Feature32 <= 1.81",1.63098526816238,0.0212765957446809
"81","Feature2 > -0.13 AND Feature32 > 1.81",1.70226652382309,0.0625
"82","Feature2 <= 1.12 AND Feature2 <= -0.22 AND Feature9 > 1.07",-0.481395157702001,0.0555555555555556
"83","Feature2 <= 1.12 AND Feature2 > -0.22 AND Feature37 <= -0.76",0.434476147910513,0.0256410256410256
